id,prompt,A,B,C,D,E,answer
1929,Pick the best possible answer: What is the origin of the radio emission observed from supernova remnants? from the following choices.,The radio emission from supernova remnants originates from the rebound of gas falling inward during the supernova explosion. This emission is a form of non-thermal emission called synchrotron emission.,The radio emission from supernova remnants originates from high-velocity electrons oscillating within magnetic fields. This emission is a form of non-thermal emission called synchrotron emission.,The radio emission from supernova remnants originates from the fusion of hydrogen and helium in the core of the star. This emission is a form of non-thermal emission called synchrotron emission.,The radio emission from supernova remnants originates from the expansion of the shell of gas during the supernova explosion. This emission is a form of thermal emission called synchrotron emission.,The radio emission from supernova remnants originates from the ionized gas present in the remnants. This emission is a form of thermal emission called synchrotron emission.,B
1930,Pick the best possible answer: What is the reason that Newton's second law cannot be used to calculate the development of a physical framework in quantum mechanics? based on the given context.,"The existence of particle spin, which is linear momentum that can be described by the cumulative effect of point-like motions in space.","The existence of particle spin, which is angular momentum that is always equal to zero.","The existence of particle spin, which is linear momentum that cannot be described by the cumulative effect of point-like motions in space.","The existence of particle spin, which is angular momentum that cannot be described by the cumulative effect of point-like motions in space.","The existence of particle spin, which is angular momentum that can be described by the cumulative effect of point-like motions in space.",D
1931,Identify the correct statement: What is the Einstein@Home project?,The Einstein@Home project is a project that aims to detect signals from supernovae or binary black holes. It takes data from LIGO and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,The Einstein@Home project is a project that aims to detect signals from supernovae or binary black holes. It takes data from SETI and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,The Einstein@Home project is a distributed computing project that aims to detect simple gravitational waves with constant frequency. It takes data from LIGO and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,The Einstein@Home project is a project that aims to detect simple gravitational waves with constant frequency. It takes data from LIGO and GEO and sends it out in large pieces to thousands of volunteers for parallel analysis on their home computers.,The Einstein@Home project is a project that aims to detect simple gravitational waves with constant frequency. It takes data from SETI and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,C
1932,"Choose the correct answer: What is the ""ultraviolet catastrophe""?",It is a phenomenon that occurs only in multi-mode vibration.,It is the misbehavior of a formula for higher frequencies.,It is the standing wave of a string in harmonic resonance.,It is a flaw in classical physics that results in the misallocation of energy.,It is a disproven concept about the distribution of electromagnetic radiation.,B
1933,Select the most accurate option: What is the main sequence in astronomy? from the following choices.,The main sequence is a type of galaxy that contains a large number of stars.,The main sequence is a type of black hole that is formed from the collapse of a massive star.,The main sequence is a continuous and distinctive band of stars that appears on plots of stellar color versus brightness. Stars on this band are known as main-sequence stars or dwarf stars.,The main sequence is a group of planets that orbit around a star in a solar structure.,The main sequence is a type of nebula that is formed from the explosion of a supernova.,C
1934,Choose the correct answer: What did Fresnel predict and verify with regards to total internal reflections? based on the given context.,"Fresnel predicted and verified that three total internal reflections at 75°27' would give a precise circular polarization if two of the reflections had water as the external medium and the third had air, but not if the reflecting surfaces were all wet or all dry.","Fresnel predicted and verified that eight total internal reflections at 68°27' would give an accurate circular polarization if four of the reflections had water as the external medium while the other four had air, but not if the reflecting surfaces were all wet or all dry.","Fresnel predicted and verified that four total internal reflections at 30°27' would result in circular polarization if two of the reflections had water as the external medium while the other two had air, regardless if the reflecting surfaces were all wet or all dry.","Fresnel predicted and verified that two total internal reflections at 68°27' would give an accurate linear polarization if one of the reflections had water as the external medium and the other had air, but not if the reflecting surfaces were all wet or all dry.","Fresnel predicted and verified that four total internal reflections at 68°27' would give a precise circular polarization if two of the reflections had water as the external medium while the other two had air, but not if the reflecting surfaces were all wet or all dry.",E
1935,What is the mechanism of FTIR?,"The mechanism of FTIR is called ray optics, which is a good analog to visualize quantum tunneling.","The mechanism of FTIR is called scattering, which is a good analog to visualize quantum tunneling.","The mechanism of FTIR is called frustrated TIR, which is a good analog to visualize quantum tunneling.","The mechanism of FTIR is called evanescent-wave coupling, which is a good analog to visualize quantum tunneling.","The mechanism of FTIR is called total internal reflection microscopy, which is a good analog to visualize quantum tunneling.",D
1936,Identify the correct statement: What is the identity operation in symmetry groups? from the following choices.,The identity operation leaves the molecule unchanged and forms the identity element in the symmetry group.,The identity operation rotates the molecule about its center of mass.,The identity operation inverts the molecule about its center of inversion.,The identity operation reflects the molecule across a plane of symmetry.,The identity operation translates the molecule in 3-D space.,A
1937,Which of the following is correct? What is the origin of the radio emission observed from supernova remnants? from the following choices.,The radio emission from supernova remnants originates from the rebound of gas falling inward during the supernova explosion. This emission is a form of non-thermal emission called synchrotron emission.,The radio emission from supernova remnants originates from high-velocity electrons oscillating within magnetic fields. This emission is a form of non-thermal emission called synchrotron emission.,The radio emission from supernova remnants originates from the fusion of hydrogen and helium in the core of the star. This emission is a form of non-thermal emission called synchrotron emission.,The radio emission from supernova remnants originates from the expansion of the shell of gas during the supernova explosion. This emission is a form of thermal emission called synchrotron emission.,The radio emission from supernova remnants originates from the ionized gas present in the remnants. This emission is a form of thermal emission called synchrotron emission.,B
1938,Determine the correct option: What is resistivity? from the following choices.,Resistivity is an extrinsic property of a material that describes how difficult it is to make electrical current flow through it. It is measured in ohms and is dependent on the material's shape and size.,Resistivity is a measure of the resistance of a material to electrical current flow. It is measured in ohm-meters and is dependent on the material's shape and size.,Resistivity is an intrinsic property of a material that describes how difficult it is to make electrical current flow through it. It is measured in ohm-meters and is independent of the material's shape and size.,Resistivity is a measure of the electrical current that can flow through a material. It is measured in ohms and is dependent on the material's shape and size.,Resistivity is a measure of the electrical current that can flow through a material. It is measured in ohm-meters and is independent of the material's shape and size.,C
1939,Select the most accurate option: What is a planetary mechanism? carefully.,A mechanism of planets that are all located in the same solar mechanism.,A structure of planets that are all the same size and shape.,Any set of gravitationally bound non-stellar objects in or out of orbit around a star or star mechanism.,A structure of planets that are all located in the same galaxy.,A framework of planets that are all made of gas.,C
1940,Pick the best possible answer: What is the butterfly effect? among the listed options.,"The butterfly effect is a physical cause that occurs when a massive sphere is caused to roll down a slope starting from a point of unstable equilibrium, and its velocity is assumed to be caused by the force of gravity accelerating it.",The butterfly effect is a distributed causality that opens up the opportunity to understand the relationship between necessary and sufficient conditions in classical (Newtonian) physics.,The butterfly effect is a proportionality between the cause and the effect of a physical phenomenon in classical (Newtonian) physics.,The butterfly effect is a small push that is needed to set a massive sphere into motion when it is caused to roll down a slope starting from a point of unstable equilibrium.,The butterfly effect is a phenomenon that highlights the contrast between the application of the notion of causality in physics and a more general use of causality as represented by Mackie's INUS conditions.,E
1941,Which of the following is correct? What is the role of methane in Fischer-Tropsch processes? from the following choices.,Methane is partially converted to carbon monoxide for utilization in Fischer-Tropsch processes.,Methane is used as a catalyst in Fischer-Tropsch processes.,Methane is not used in Fischer-Tropsch processes.,Methane is fully converted to carbon monoxide for utilization in Fischer-Tropsch processes.,Methane is a byproduct of Fischer-Tropsch processes.,A
1942,Select the most accurate option: What is the relationship between the complete electromagnetic Hamiltonian of a molecule and the parity operation?,"The complete electromagnetic Hamiltonian of any molecule is invariant to the parity operation, and its eigenvalues cannot be given the parity symmetry label + or -.","The complete electromagnetic Hamiltonian of any molecule is dependent on the parity operation, and its eigenvalues can be given the parity symmetry label even or odd, respectively.","The complete electromagnetic Hamiltonian of any molecule is dependent on the parity operation, and its eigenvalues can be given the parity symmetry label + or - depending on whether they are even or odd, respectively.","The complete electromagnetic Hamiltonian of any molecule is invariant to the parity operation, and its eigenvalues can be given the parity symmetry label + or - depending on whether they are even or odd, respectively.","The complete electromagnetic Hamiltonian of any molecule does not involve the parity operation, and its eigenvalues cannot be given the parity symmetry label + or -.",D
1943,Choose the correct answer: What is the significance of probability amplitudes in quantum mechanics? among the listed options.,Probability amplitudes are used to determine the mass of particles in quantum mechanics.,Probability amplitudes have no significance in quantum mechanics.,Probability amplitudes are used to determine the velocity of particles in quantum mechanics.,"Probability amplitudes act as the equivalent of conventional probabilities in classical mechanics, with many analogous laws.","Probability amplitudes act as the equivalent of conventional probabilities in quantum mechanics, with many analogous laws.",E
1944,"Identify the correct statement: Which hand should be used to apply the right-hand rule when tightening or loosening nuts, screws, bolts, bottle caps, and jar lids? from the following choices.",One's dominant hand,The right hand,Both hands,The left hand,Either hand,B
1945,Choose the correct answer: What is a planetary mechanism? based on the given context.,A mechanism of planets that are all located in the same solar mechanism.,A framework of planets that are all the same size and shape.,Any set of gravitationally bound non-stellar objects in or out of orbit around a star or star structure.,A framework of planets that are all located in the same galaxy.,A framework of planets that are all made of gas.,C
1946,Pick the best possible answer: What is the significance of the change in slope of the pinched hysteresis curves in ReRAM and other forms of two-terminal resistance memory? from the following choices.,"The change in slope of the pinched hysteresis curves demonstrates switching between different resistance states, which is a phenomenon central to ReRAM and other forms of two-terminal resistance memory.","The change in slope of the pinched hysteresis curves indicates the presence of a Type-II non-crossing curve, which is a phenomenon central to ReRAM and other forms of two-terminal resistance memory.","The change in slope of the pinched hysteresis curves demonstrates the presence of a memristor, which is a phenomenon central to ReRAM and other forms of two-terminal resistance memory.","The change in slope of the pinched hysteresis curves demonstrates the presence of a memristive network, which is a phenomenon central to ReRAM and other forms of two-terminal resistance memory.","The change in slope of the pinched hysteresis curves indicates the presence of a linear resistor, which is a phenomenon central to ReRAM and other forms of two-terminal resistance memory.",A
1947,Which of the following is correct? What is the Erlangen program? based on the given context.,"The Erlangen program is a procedure of characterizing geometries based on statistics and probability, published by Felix Klein in 1872 as Vergleichende Betrachtungen über neuere geometrische Forschungen.","The Erlangen program is a procedure of characterizing geometries based on group framework and projective geometry, published by Felix Klein in 1872 as Vergleichende Betrachtungen über neuere geometrische Forschungen.","The Erlangen program is a approach of characterizing geometries based on algebra and trigonometry, published by Felix Klein in 1872 as Vergleichende Betrachtungen über neuere geometrische Forschungen.","The Erlangen program is a technique of characterizing geometries based on geometry and topology, published by Felix Klein in 1872 as Vergleichende Betrachtungen über neuere geometrische Forschungen.","The Erlangen program is a procedure of characterizing geometries based on calculus and differential equations, published by Felix Klein in 1872 as Vergleichende Betrachtungen über neuere geometrische Forschungen.",B
1948,Select the most accurate option: What is a planetary mechanism? based on the given context.,A mechanism of planets that are all located in the same solar mechanism.,A structure of planets that are all the same size and shape.,Any set of gravitationally bound non-stellar objects in or out of orbit around a star or star mechanism.,A mechanism of planets that are all located in the same galaxy.,A framework of planets that are all made of gas.,C
1949,Which of the following is correct? What is resistivity? carefully.,Resistivity is an extrinsic property of a material that describes how difficult it is to make electrical current flow through it. It is measured in ohms and is dependent on the material's shape and size.,Resistivity is a measure of the resistance of a material to electrical current flow. It is measured in ohm-meters and is dependent on the material's shape and size.,Resistivity is an intrinsic property of a material that describes how difficult it is to make electrical current flow through it. It is measured in ohm-meters and is independent of the material's shape and size.,Resistivity is a measure of the electrical current that can flow through a material. It is measured in ohms and is dependent on the material's shape and size.,Resistivity is a measure of the electrical current that can flow through a material. It is measured in ohm-meters and is independent of the material's shape and size.,C
1950,Choose the correct answer: What is the reason for the stochastic nature of all observed resistance-switching processes? based on the given context.,"The free-energy barriers for the transition {i} → {j} are not high enough, and the memory device can switch without having to do anything.","The device is subjected to random thermal fluctuations, which trigger the switching event, but it is impossible to predict when it will occur.","The memory device is found to be in a distinct resistance state {j}, and there exists no physical one-to-one relationship between its present state and its foregoing voltage history.","The device is subjected to biases below the threshold value, which still allows for a finite probability of switching, but it is possible to predict when it will occur.","The external bias is set to a value above a certain threshold value, which reduces the free-energy barrier for the transition {i} → {j} to zero.",B
1951,"Select the most accurate option: What is the meaning of the term ""horror vacui""? among the listed options.",The quantified extension of volume in empty space.,The commonly held view that nature abhorred a vacuum.,The medieval thought experiment into the idea of a vacuum.,The success of Descartes' namesake coordinate mechanism.,The spatial-corporeal component of Descartes' metaphysics.,B
1952,"Select the most accurate option: Who proposed the concept of ""maximal acceleration""? among the listed options.",Max Planck,Niels Bohr,Eduardo R. Caianiello,Hideki Yukawa,Albert Einstein,C
1953,Pick the best possible answer: How many crystallographic point groups are there in three-dimensional space? among the listed options.,7,32,14,5,27,B
1954,Determine the correct option: What are some models that attempt to account for all observations without invoking supplemental non-baryonic matter?,"The Doppler effect, the photoelectric effect, or the Compton effect.","The Higgs boson, the W boson, or the Z boson.","Modified Newtonian dynamics, tensor–vector–scalar gravity, or entropic gravity.","The strong nuclear force, the weak nuclear force, or the electromagnetic force.","Kepler's laws, Newton's laws, or Einstein's framework of general relativity.",C
1955,Choose the correct answer: Which of the following statements accurately describes the blocking temperature of an antiferromagnetic layer in a spin valve? based on the given context.,The blocking temperature of an antiferromagnetic layer in a spin valve is the temperature at which the magnetization of the ferromagnetic layer becomes aligned with the magnetic field. The blocking temperature is typically higher than the Néel temperature.,"The blocking temperature of an antiferromagnetic layer in a spin valve is the temperature below which the layer loses its ability to ""pin"" the magnetization direction of an adjacent ferromagnetic layer. The blocking temperature is typically higher than the Néel temperature.",The blocking temperature of an antiferromagnetic layer in a spin valve is the temperature at which the ferromagnetic layer becomes completely demagnetized. The blocking temperature is typically higher than the Néel temperature.,The blocking temperature of an antiferromagnetic layer in a spin valve is the temperature at or above which the layer ceases to prevent the orientation of an adjacent ferromagnetic layer. The blocking temperature is typically lower than the Néel temperature.,"The blocking temperature of an antiferromagnetic layer in a spin valve is the temperature at which the ferromagnetic layer loses its ability to ""pin"" the magnetization direction of an adjacent antiferromagnetic layer. The blocking temperature is typically higher than the Néel temperature.",D
1956,Determine the correct option: What is the gravitomagnetic interaction? based on the given context.,The gravitomagnetic interaction is a force that is produced by the rotation of atoms in materials with linear properties that enhance time-varying gravitational fields.,"The gravitomagnetic interaction is a force that acts against gravity, produced by materials that have nonlinear properties that enhance time-varying gravitational fields.","The gravitomagnetic interaction is a new force of nature generated by rotating matter, whose intensity is proportional to the rate of spin, according to the general principle of relativity.","The gravitomagnetic interaction is a force that occurs in neutron stars, producing a gravitational analogue of the Meissner effect.",The gravitomagnetic interaction is a force that is produced by the rotation of atoms in materials of different gravitational permeability.,C
1957,What are the Navier-Stokes equations?,"The Navier-Stokes equations are partial differential equations that describe the motion of viscous fluid substances, expressing momentum balance and conservation of mass for Newtonian fluids.","The Navier-Stokes equations are partial differential equations that describe the motion of viscous fluid substances, expressing momentum balance and conservation of mass for non-Newtonian fluids.","The Navier-Stokes equations are partial differential equations that describe the motion of non-viscous fluid substances, expressing momentum balance and conservation of mass for Newtonian fluids.","The Navier-Stokes equations are algebraic equations that describe the motion of non-viscous fluid substances, expressing momentum balance and conservation of mass for Newtonian fluids.","The Navier-Stokes equations are algebraic equations that describe the motion of viscous fluid substances, expressing momentum balance and conservation of mass for Newtonian fluids.",A
1958,"What is the meaning of the term ""horror vacui""?",The quantified extension of volume in empty space.,The commonly held view that nature abhorred a vacuum.,The medieval thought experiment into the idea of a vacuum.,The success of Descartes' namesake coordinate system.,The spatial-corporeal component of Descartes' metaphysics.,B
1959,"Select the most accurate option: Who proposed the concept of ""maximal acceleration""?",Max Planck,Niels Bohr,Eduardo R. Caianiello,Hideki Yukawa,Albert Einstein,C
1960,Determine the correct option: What is Hesse's principle of transfer in geometry? among the listed options.,Hesse's principle of transfer is a concept in biology that explains the transfer of genetic information from one generation to another.,Hesse's principle of transfer is a concept in chemistry that explains the transfer of electrons between atoms in a chemical reaction.,Hesse's principle of transfer is a concept in physics that explains the transfer of energy from one object to another.,Hesse's principle of transfer is a concept in economics that explains the transfer of wealth from one individual to another.,"Hesse's principle of transfer is a concept in geometry that states that if the points of the projective line P1 are depicted by a rational normal curve in Pn, then the group of the projective transformations of Pn that preserve the curve is isomorphic to the group of the projective transformations of P1.",E
1961,Determine the correct option: What is the Optical Signal-to-Noise Ratio (OSNR)? from the following choices.,"The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the modulation frequency and the carrier frequency of an optical signal, used to describe the signal quality in structures where dynamic range is less than 6.02m.","The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality without taking the receiver into account.","The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality in situations where the dynamic range is less than 6.02m.","The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a fixed bandwidth of 6.02m, used to describe the signal quality in structures where dynamic range is less than 6.02m.","The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality in situations where the dynamic range is large or unpredictable.",B
1962,What is water hammer?,Water hammer is a type of water turbine used in hydroelectric generating stations to generate electricity.,Water hammer is a type of air trap or standpipe used to dampen the sound of moving water in plumbing systems.,Water hammer is a type of plumbing tool used to break pipelines and absorb the potentially damaging forces caused by moving water.,Water hammer is a type of water pump used to increase the pressure of water in pipelines.,"Water hammer is a loud banging noise resembling a hammering sound that occurs when moving water is suddenly stopped, causing a rise in pressure and resulting shock wave.",E
1963,Choose the correct answer: What is the main sequence in astronomy? based on the given context.,The main sequence is a type of galaxy that contains a large number of stars.,The main sequence is a type of black hole that is formed from the collapse of a massive star.,The main sequence is a continuous and distinctive band of stars that appears on plots of stellar color versus brightness. Stars on this band are known as main-sequence stars or dwarf stars.,The main sequence is a group of planets that orbit around a star in a solar structure.,The main sequence is a type of nebula that is formed from the explosion of a supernova.,C
1964,Pick the best possible answer: What is the Maxwell's Demon thought experiment? based on the given context.,"A thought experiment in which a demon guards a microscopic trapdoor in a wall separating two parts of a container filled with different gases at equal temperatures. The demon selectively allows molecules to pass from one side to the other, causing an boost in temperature in one part and a minimize in temperature in the other, contrary to the second law of thermodynamics.","A thought experiment in which a demon guards a macroscopic trapdoor in a wall separating two parts of a container filled with different gases at different temperatures. The demon selectively allows molecules to pass from one side to the other, causing a minimize in temperature in one part and an raise in temperature in the other, in accordance with the second law of thermodynamics.","A thought experiment in which a demon guards a microscopic trapdoor in a wall separating two parts of a container filled with the same gas at equal temperatures. The demon selectively allows faster-than-average molecules to pass from one side to the other, causing a lower in temperature in one part and an enhance in temperature in the other, contrary to the second law of thermodynamics.","A thought experiment in which a demon guards a macroscopic trapdoor in a wall separating two parts of a container filled with the same gas at equal temperatures. The demon selectively allows faster-than-average molecules to pass from one side to the other, causing an raise in temperature in one part and a minimize in temperature in the other, contrary to the second law of thermodynamics.","A thought experiment in which a demon guards a microscopic trapdoor in a wall separating two parts of a container filled with the same gas at different temperatures. The demon selectively allows slower-than-average molecules to pass from one side to the other, causing a reduce in temperature in one part and an boost in temperature in the other, in accordance with the second law of thermodynamics.",C
1965,Identify the correct statement: Who was Giordano Bruno?,A German philosopher who supported the Keplerian principle that planets move in elliptical orbits around the Sun and believed that fixed stars are similar to the Sun but have different designs and are not subject to the dominion of One.,An English philosopher who supported the Ptolemaic concept that Earth is the center of the universe and believed that fixed stars are not similar to the Sun and do not have planets orbiting them.,A French philosopher who supported the Aristotelian framework that Earth is at the center of the universe and believed that fixed stars are similar to the Sun but do not have planets orbiting them.,An Italian philosopher who supported the Copernican concept that Earth and other planets orbit the Sun and believed that fixed stars are similar to the Sun and have planets orbiting them.,A Spanish philosopher who supported the Galilean concept that Earth and other planets orbit the Sun and believed that fixed stars are not similar to the Sun and do not have planets orbiting them.,D
1966,Determine the correct option: What was the aim of the Gravity Probe B (GP-B) mission? based on the given context.,To prove that pressure contributes equally to spacetime curvature as does mass-energy.,"To measure spacetime curvature near Earth, with particular emphasis on gravitomagnetism.",To measure the distribution of Fe and Al on the Moon's surface.,"To confirm the relatively large geodetic effect due to simple spacetime curvature, and is also known as de Sitter precession.",To measure the discrepancy between active and passive mass to about 10−12.,B
1967,"Determine the correct option: What is a ""coffee ring"" in physics? from the following choices.",A type of coffee that is made by boiling coffee grounds in water.,"A pattern left by a particle-laden liquid after it is spilled, named for the characteristic ring-like deposit along the perimeter of a spill of coffee or red wine.",A type of coffee that is made by mixing instant coffee with hot water.,A type of coffee that is made by pouring hot water over coffee grounds in a filter.,"A pattern left by a particle-laden liquid after it evaporates, named for the characteristic ring-like deposit along the perimeter of a spill of coffee or red wine.",E
1968,Select the most accurate option: What is the explanation for the effective supersymmetry in quark-diquark models?,"Two different color charges close together appear as the corresponding anti-color under coarse resolution, which makes a diquark cluster viewed with coarse resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.","Two different color charges close together appear as the corresponding color under coarse resolution, which makes a diquark cluster viewed with coarse resolution effectively appear as a quark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a baryon.","Two different color charges close together appear as the corresponding color under fine resolution, which makes a diquark cluster viewed with fine resolution effectively appear as a quark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a baryon.","Two different color charges close together appear as the corresponding anti-color under fine resolution, which makes a diquark cluster viewed with fine resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.","Two different color charges close together appear as the corresponding anti-color under any resolution, which makes a diquark cluster viewed with any resolution effectively appear as an antiquark. Therefore, a baryon containing 3 valence quarks, of which two tend to cluster together as a diquark, behaves like a meson.",A
1969,Determine the correct option: What is the order parameter that breaks the electromagnetic gauge symmetry in superconductors? among the listed options.,None of the above.,A thin cylindrical plastic rod.,A condensed-matter collective field ψ.,The cosmic microwave background.,A component of the Higgs field.,C
1970,"What is the purpose of expressing a map's scale as a ratio, such as 1:10,000?","To indicate the use of south-up orientation, as used in Ancient Africa and some maps in Brazil today.","To indicate the orientation of the map, such as whether the 0° meridian is at the top or bottom of the page.","To indicate the projection used to create the map, such as Buckminster Fuller's Dymaxion projection.","To indicate the arrangement of the map, such as the world map of Gott, Vanderbei, and Goldberg arranged as a pair of disks back-to-back.",To indicate the relationship between the size of the map and the size of the area being represented.,E
1971,Determine the correct option: How many crystallographic point groups are there in three-dimensional space? from the following choices.,7,32,14,5,27,B
1972,Which of the following is correct? What is the Maxwell's Demon thought experiment?,"A thought experiment in which a demon guards a microscopic trapdoor in a wall separating two parts of a container filled with different gases at equal temperatures. The demon selectively allows molecules to pass from one side to the other, causing an enhance in temperature in one part and a reduce in temperature in the other, contrary to the second law of thermodynamics.","A thought experiment in which a demon guards a macroscopic trapdoor in a wall separating two parts of a container filled with different gases at different temperatures. The demon selectively allows molecules to pass from one side to the other, causing a minimize in temperature in one part and an boost in temperature in the other, in accordance with the second law of thermodynamics.","A thought experiment in which a demon guards a microscopic trapdoor in a wall separating two parts of a container filled with the same gas at equal temperatures. The demon selectively allows faster-than-average molecules to pass from one side to the other, causing a reduce in temperature in one part and an enhance in temperature in the other, contrary to the second law of thermodynamics.","A thought experiment in which a demon guards a macroscopic trapdoor in a wall separating two parts of a container filled with the same gas at equal temperatures. The demon selectively allows faster-than-average molecules to pass from one side to the other, causing an enhance in temperature in one part and a minimize in temperature in the other, contrary to the second law of thermodynamics.","A thought experiment in which a demon guards a microscopic trapdoor in a wall separating two parts of a container filled with the same gas at different temperatures. The demon selectively allows slower-than-average molecules to pass from one side to the other, causing a minimize in temperature in one part and an boost in temperature in the other, in accordance with the second law of thermodynamics.",C
1973,Identify the correct statement: What does Earnshaw's theorem state? from the following choices.,A collection of point charges can be maintained in a stable stationary equilibrium configuration solely by the gravitational interaction of the charges.,A collection of point charges can be maintained in a stable stationary equilibrium configuration solely by the electrostatic interaction of the charges.,"A collection of point charges can be maintained in a stable stationary equilibrium configuration solely by the magnetic interaction of the charges, if the magnets are hard.",A collection of point charges cannot be maintained in a stable stationary equilibrium configuration solely by the electrostatic interaction of the charges.,A collection of point charges can be maintained in a stable stationary equilibrium configuration solely by the magnetic interaction of the charges.,D
1974,Determine the correct option: What is reciprocal length or inverse length? carefully.,"Reciprocal length or inverse length is a quantity or measurement used in physics and chemistry. It is the reciprocal of time, and common units used for this measurement include the reciprocal second or inverse second (symbol: s−1), the reciprocal minute or inverse minute (symbol: min−1).","Reciprocal length or inverse length is a quantity or measurement used in geography and geology. It is the reciprocal of area, and common units used for this measurement include the reciprocal square metre or inverse square metre (symbol: m−2), the reciprocal square kilometre or inverse square kilometre (symbol: km−2).","Reciprocal length or inverse length is a quantity or measurement used in biology and medicine. It is the reciprocal of mass, and common units used for this measurement include the reciprocal gram or inverse gram (symbol: g−1), the reciprocal kilogram or inverse kilogram (symbol: kg−1).","Reciprocal length or inverse length is a quantity or measurement used in economics and finance. It is the reciprocal of interest rate, and common units used for this measurement include the reciprocal percent or inverse percent (symbol: %−1), the reciprocal basis point or inverse basis point (symbol: bp−1).","Reciprocal length or inverse length is a quantity or measurement used in several branches of science and mathematics. It is the reciprocal of length, and common units used for this measurement include the reciprocal metre or inverse metre (symbol: m−1), the reciprocal centimetre or inverse centimetre (symbol: cm−1).",E
1975,Choose the correct answer: What is a regular polytope?,A regular polytope is a geometric shape whose symmetry group is transitive on its diagonals.,A regular polytope is a geometric shape whose symmetry group is transitive on its vertices.,A regular polytope is a geometric shape whose symmetry group is transitive on its flags.,A regular polytope is a geometric shape whose symmetry group is transitive on its edges.,A regular polytope is a geometric shape whose symmetry group is transitive on its faces.,C
1976,Which of the following is correct? What is the relation between the three moment theorem and the bending moments at three successive supports of a continuous beam?,The three moment theorem expresses the relation between the deflection of two points on a beam relative to the point of intersection between tangent at those two points and the vertical through the first point.,"The three moment theorem is used to calculate the maximum allowable bending moment of a beam, which is determined by the weight distribution of each segment of the beam.","The three moment theorem describes the relationship between bending moments at three successive supports of a continuous beam, subject to a loading on two adjacent spans with or without settlement of the supports.","The three moment theorem is used to calculate the weight distribution of each segment of a beam, which is required to apply Mohr's theorem.","The three moment theorem is used to derive the change in slope of a deflection curve between two points of a beam, which is equal to the area of the M/EI diagram between those two points.",C
1977,Choose the correct answer: What is the Landau-Lifshitz-Gilbert equation used for in physics? from the following choices.,"The Landau-Lifshitz-Gilbert equation is a differential equation used to describe the precessional motion of magnetization M in a liquid, and is commonly used in micromagnetics to model the effects of a magnetic field on ferromagnetic materials.","The Landau-Lifshitz-Gilbert equation is a differential equation used to describe the precessional motion of magnetization M in a solid, and is commonly used in astrophysics to model the effects of a magnetic field on celestial bodies.","The Landau-Lifshitz-Gilbert equation is a differential equation used to describe the precessional motion of magnetization M in a solid, and is commonly used in micromagnetics to model the effects of a magnetic field on ferromagnetic materials.","The Landau-Lifshitz-Gilbert equation is a differential equation used to describe the precessional motion of magnetization M in a solid, and is commonly used in macro-magnetics to model the effects of a magnetic field on ferromagnetic materials.","The Landau-Lifshitz-Gilbert equation is a differential equation used to describe the precessional motion of magnetization M in a liquid, and is commonly used in macro-magnetics to model the effects of a magnetic field on ferromagnetic materials.",C
1978,Choose the correct answer: What is the significance of the change in slope of the pinched hysteresis curves in ReRAM and other forms of two-terminal resistance memory?,"The change in slope of the pinched hysteresis curves demonstrates switching between different resistance states, which is a phenomenon central to ReRAM and other forms of two-terminal resistance memory.","The change in slope of the pinched hysteresis curves indicates the presence of a Type-II non-crossing curve, which is a phenomenon central to ReRAM and other forms of two-terminal resistance memory.","The change in slope of the pinched hysteresis curves demonstrates the presence of a memristor, which is a phenomenon central to ReRAM and other forms of two-terminal resistance memory.","The change in slope of the pinched hysteresis curves demonstrates the presence of a memristive network, which is a phenomenon central to ReRAM and other forms of two-terminal resistance memory.","The change in slope of the pinched hysteresis curves indicates the presence of a linear resistor, which is a phenomenon central to ReRAM and other forms of two-terminal resistance memory.",A
